,imdb_score,duration,genres,plot_keywords,language,country,movie_title,gross,content_rating,budget,title_year,aspect_ratio,trt_movie_title,trt_genre,trt_lucro,trt_content_rating,trt_imdb_score,trt_imdb_class_score
0,7.9,178.0,Action|Adventure|Fantasy|Sci-Fi,avatar|future|marine|native|paraplegic,English,USA,Avatar ,760505847.0,PG-13,237000000.0,2009.0,1.78,avatar,Action,220.8885430379747,PG-13,7,>5 & <=7
1,7.1,169.0,Action|Adventure|Fantasy,goddess|marriage ceremony|marriage proposal|pirate|singapore,English,USA,Pirates of the Caribbean: At World's End ,309404152.0,PG-13,300000000.0,2007.0,2.35,pirates of the caribbean: at world's end,Action,3.134717333333333,PG-13,7,>5 & <=7
2,6.8,148.0,Action|Adventure|Thriller,bomb|espionage|sequel|spy|terrorist,English,UK,Spectre ,200074175.0,PG-13,245000000.0,2015.0,2.35,spectre,Action,-18.337071428571427,PG-13,6,>5 & <=7
3,8.5,164.0,Action|Thriller,deception|imprisonment|lawlessness|police officer|terrorist plot,English,USA,The Dark Knight Rises ,448130642.0,PG-13,250000000.0,2012.0,2.35,the dark knight rises,Action,79.2522568,PG-13,8,>7 & <=10
5,6.6,132.0,Action|Adventure|Sci-Fi,alien|american civil war|male nipple|mars|princess,English,USA,John Carter ,73058679.0,PG-13,263700000.0,2012.0,2.35,john carter,Action,-72.29477474402731,PG-13,6,>5 & <=7
6,6.2,156.0,Action|Adventure|Romance,sandman|spider man|symbiote|venom|villain,English,USA,Spider-Man 3 ,336530303.0,PG-13,258000000.0,2007.0,2.35,spider-man 3,Action,30.438101937984495,PG-13,6,>5 & <=7
7,7.8,100.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,17th century|based on fairy tale|disney|flower|tower,English,USA,Tangled ,200807262.0,PG,260000000.0,2010.0,1.85,tangled,Adventure,-22.766437692307694,PG,7,>5 & <=7
8,7.5,141.0,Action|Adventure|Sci-Fi,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,English,USA,Avengers: Age of Ultron ,458991599.0,PG-13,250000000.0,2015.0,2.35,avengers: age of ultron,Action,83.5966396,PG-13,7,>5 & <=7
9,7.5,153.0,Adventure|Family|Fantasy|Mystery,blood|book|love|potion|professor,English,UK,Harry Potter and the Half-Blood Prince ,301956980.0,PG,250000000.0,2009.0,2.35,harry potter and the half-blood prince,Adventure,20.782792,PG,7,>5 & <=7
10,6.9,183.0,Action|Adventure|Sci-Fi,based on comic book|batman|sequel to a reboot|superhero|superman,English,USA,Batman v Superman: Dawn of Justice ,330249062.0,PG-13,250000000.0,2016.0,2.35,batman v superman: dawn of justice,Action,32.0996248,PG-13,6,>5 & <=7
11,6.1,169.0,Action|Adventure|Sci-Fi,crystal|epic|lex luthor|lois lane|return to earth,English,USA,Superman Returns ,200069408.0,PG-13,209000000.0,2006.0,2.35,superman returns,Action,-4.273010526315789,PG-13,6,>5 & <=7
12,6.7,106.0,Action|Adventure,action hero|attempted rape|bond girl|official james bond series|revenge,English,UK,Quantum of Solace ,168368427.0,PG-13,200000000.0,2008.0,2.35,quantum of solace,Action,-15.815786500000002,PG-13,6,>5 & <=7
