,trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,budget,aspect_ratio,trt_genre
0,6-7,longa_metragem,english,USA,PG-13,237000000.0,1.78,Action
1,6-7,longa_metragem,english,USA,PG-13,300000000.0,2.35,Action
2,6-7,longa_metragem,english,UK,PG-13,245000000.0,2.35,Action
3,8-10,longa_metragem,english,USA,PG-13,250000000.0,2.35,Action
5,6-7,longa_metragem,english,USA,PG-13,263700000.0,2.35,Action
6,6-7,longa_metragem,english,USA,PG-13,258000000.0,2.35,Action
7,6-7,longa_metragem,english,USA,PG,260000000.0,1.85,Adventure
8,6-7,longa_metragem,english,USA,PG-13,250000000.0,2.35,Action
9,6-7,longa_metragem,english,UK,PG,250000000.0,2.35,Adventure
10,6-7,longa_metragem,english,USA,PG-13,250000000.0,2.35,Action
11,6-7,longa_metragem,english,USA,PG-13,209000000.0,2.35,Action
12,6-7,longa_metragem,english,UK,PG-13,200000000.0,2.35,Action
13,6-7,longa_metragem,english,USA,PG-13,225000000.0,2.35,Action
14,6-7,longa_metragem,english,USA,PG-13,215000000.0,2.35,Action
15,6-7,longa_metragem,english,USA,PG-13,225000000.0,2.35,Action
16,6-7,longa_metragem,english,USA,PG,225000000.0,2.35,Action
17,8-10,longa_metragem,english,USA,PG-13,220000000.0,1.85,Action
18,6-7,longa_metragem,english,USA,PG-13,250000000.0,2.35,Action
19,6-7,longa_metragem,english,USA,PG-13,225000000.0,1.85,Action
20,6-7,longa_metragem,english,New Zealand,PG-13,250000000.0,2.35,Adventure
21,6-7,longa_metragem,english,USA,PG-13,230000000.0,2.35,Action
22,6-7,longa_metragem,english,USA,PG-13,200000000.0,2.35,Action
23,6-7,longa_metragem,english,USA,PG-13,225000000.0,2.35,Adventure
24,6-7,longa_metragem,english,USA,PG-13,180000000.0,2.35,Adventure
25,6-7,longa_metragem,english,New Zealand,PG-13,207000000.0,2.35,Action
26,6-7,longa_metragem,english,USA,PG-13,200000000.0,2.35,Drama
27,8-10,longa_metragem,english,USA,PG-13,250000000.0,2.35,Action
28,5,longa_metragem,english,USA,PG-13,209000000.0,2.35,Action
