trt_imdb_score,trt_duration,trt_language,country,trt_content_rating,trt_aspect_ratio,trt_genre
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,New Zealand,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,New Zealand,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Drama
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,70mm Frame,Action
6-7,longa_metragem,english,UK,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,American Widescreen,Adventure
6-7,longa_metragem,english,Canada,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,G,American Widescreen,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,G,Anamorphic Projection,Adventure
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,G,American Widescreen,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Adventure
6-7,longa_metragem,english,Australia,PG-13,Anamorphic Projection,Drama
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,American Widescreen,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
8-10,longa_metragem,english,USA,G,Anamorphic Projection,Adventure
6-7,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
6-7,longa_metragem,english,USA,PG,Anamorphic Projection,Animation
5,longa_metragem,english,USA,PG-13,Anamorphic Projection,Action
