,trt_imdb_score,trt_duration,trt_language,country,budget,gross,trt_content_rating,trt_genre
0,7,longa_metragem,english,USA,237000000.0,760505847.0,PG-13,Action
1,7,longa_metragem,english,USA,300000000.0,309404152.0,PG-13,Action
3,8,longa_metragem,english,USA,250000000.0,448130642.0,PG-13,Action
5,6,longa_metragem,english,USA,263700000.0,73058679.0,PG-13,Action
6,6,longa_metragem,english,USA,258000000.0,336530303.0,PG-13,Action
7,7,longa_metragem,english,USA,260000000.0,200807262.0,PG,Adventure
8,7,longa_metragem,english,USA,250000000.0,458991599.0,PG-13,Action
10,6,longa_metragem,english,USA,250000000.0,330249062.0,PG-13,Action
11,6,longa_metragem,english,USA,209000000.0,200069408.0,PG-13,Action
13,7,longa_metragem,english,USA,225000000.0,423032628.0,PG-13,Action
14,6,longa_metragem,english,USA,215000000.0,89289910.0,PG-13,Action
15,7,longa_metragem,english,USA,225000000.0,291021565.0,PG-13,Action
16,6,longa_metragem,english,USA,225000000.0,141614023.0,PG,Action
17,8,longa_metragem,english,USA,220000000.0,623279547.0,PG-13,Action
18,6,longa_metragem,english,USA,250000000.0,241063875.0,PG-13,Action
19,6,longa_metragem,english,USA,225000000.0,179020854.0,PG-13,Action
21,7,longa_metragem,english,USA,230000000.0,262030663.0,PG-13,Action
22,6,longa_metragem,english,USA,200000000.0,105219735.0,PG-13,Action
23,7,longa_metragem,english,USA,225000000.0,258355354.0,PG-13,Adventure
24,6,longa_metragem,english,USA,180000000.0,70083519.0,PG-13,Adventure
26,7,longa_metragem,english,USA,200000000.0,658672302.0,PG-13,Drama
27,8,longa_metragem,english,USA,250000000.0,407197282.0,PG-13,Action
28,5,longa_metragem,english,USA,209000000.0,65173160.0,PG-13,Action
29,7,longa_metragem,english,USA,150000000.0,652177271.0,PG-13,Action
31,7,longa_metragem,english,USA,200000000.0,373377893.0,PG-13,Action
32,7,longa_metragem,english,USA,200000000.0,408992272.0,PG-13,Action
33,6,longa_metragem,english,USA,200000000.0,334185206.0,PG,Adventure
35,7,longa_metragem,english,USA,200000000.0,268488329.0,G,Adventure
36,6,longa_metragem,english,USA,200000000.0,402076689.0,PG-13,Action
37,5,longa_metragem,english,USA,210000000.0,245428137.0,PG-13,Action
38,6,longa_metragem,english,USA,215000000.0,234903076.0,PG,Adventure
39,6,longa_metragem,english,USA,200000000.0,202853933.0,PG-13,Action
40,6,longa_metragem,english,USA,170000000.0,172051787.0,PG,Action
41,6,longa_metragem,english,USA,200000000.0,191450875.0,G,Adventure
42,5,longa_metragem,english,USA,200000000.0,116593191.0,PG-13,Action
43,8,longa_metragem,english,USA,200000000.0,414984497.0,G,Adventure
44,6,longa_metragem,english,USA,200000000.0,125320003.0,PG-13,Action
45,7,longa_metragem,english,USA,190000000.0,350034110.0,PG-13,Action
46,7,longa_metragem,english,USA,190000000.0,202351611.0,PG-13,Action
47,8,longa_metragem,english,USA,200000000.0,233914986.0,PG-13,Action
48,7,longa_metragem,english,USA,190000000.0,228756232.0,PG-13,Action
49,6,longa_metragem,english,USA,195000000.0,65171860.0,PG-13,Adventure
51,6,longa_metragem,english,USA,200000000.0,90755643.0,PG-13,Action
52,7,longa_metragem,english,USA,190000000.0,101785482.0,PG-13,Action
53,6,longa_metragem,english,USA,195000000.0,352358779.0,PG-13,Action
54,6,longa_metragem,english,USA,185000000.0,317011114.0,PG-13,Action
56,7,longa_metragem,english,USA,185000000.0,237282182.0,PG,Adventure
57,7,longa_metragem,english,USA,185000000.0,130468626.0,PG-13,Action
58,8,longa_metragem,english,USA,180000000.0,223806889.0,G,Adventure
59,6,longa_metragem,english,USA,140000000.0,140080850.0,PG-13,Action
60,5,longa_metragem,english,USA,200000000.0,166112167.0,PG-13,Action
61,6,longa_metragem,english,USA,200000000.0,137850096.0,PG,Animation
62,5,longa_metragem,english,USA,176000000.0,47375327.0,PG-13,Action
63,6,longa_metragem,english,USA,180000000.0,124051759.0,PG-13,Action
64,6,longa_metragem,english,USA,180000000.0,291709845.0,PG,Adventure
65,7,longa_metragem,english,USA,178000000.0,154985087.0,PG-13,Action
66,9,longa_metragem,english,USA,185000000.0,533316061.0,PG-13,Action
67,8,longa_metragem,english,USA,175000000.0,292979556.0,PG,Adventure
68,6,longa_metragem,english,USA,175000000.0,198332128.0,PG,Action
69,7,longa_metragem,english,USA,140000000.0,318298180.0,PG-13,Action
70,7,longa_metragem,english,USA,170000000.0,73820094.0,PG,Adventure
71,4,longa_metragem,english,USA,170000000.0,113745408.0,PG-13,Action
72,5,longa_metragem,english,USA,145000000.0,102176165.0,PG-13,Action
73,6,longa_metragem,english,USA,175000000.0,161087183.0,PG-13,Action
74,5,longa_metragem,english,USA,175000000.0,100289690.0,PG,Comedy
75,7,longa_metragem,english,USA,178000000.0,100189501.0,PG-13,Action
76,6,longa_metragem,english,USA,175000000.0,88246220.0,PG-13,Action
77,5,longa_metragem,english,USA,175000000.0,150167630.0,PG-13,Action
78,8,longa_metragem,english,USA,175000000.0,356454367.0,PG,Adventure
80,7,longa_metragem,english,USA,200000000.0,312057433.0,PG-13,Action
81,6,longa_metragem,english,USA,170000000.0,155111815.0,PG-13,Action
82,7,longa_metragem,english,USA,180000000.0,241407328.0,PG,Action
83,7,longa_metragem,english,USA,170000000.0,208543795.0,PG-13,Action
85,6,longa_metragem,english,USA,175000000.0,38297305.0,PG-13,Action
86,7,longa_metragem,english,USA,170000000.0,259746958.0,PG-13,Action
87,6,longa_metragem,english,USA,165000000.0,238371987.0,PG,Adventure
88,6,longa_metragem,english,USA,190000000.0,93417865.0,PG,Action
89,7,longa_metragem,english,USA,165000000.0,222487711.0,PG,Action
90,7,longa_metragem,english,USA,165000000.0,189412677.0,PG,Adventure
91,6,longa_metragem,english,USA,165000000.0,665426.0,G,Adventure
92,5,longa_metragem,english,USA,165000000.0,102315545.0,PG-13,Action
93,8,longa_metragem,english,USA,165000000.0,217387997.0,PG,Adventure
94,6,longa_metragem,english,USA,200000000.0,150350192.0,R,Action
95,8,longa_metragem,english,USA,170000000.0,333130696.0,PG-13,Action
96,8,longa_metragem,english,USA,165000000.0,187991439.0,PG-13,Adventure
97,8,longa_metragem,english,USA,160000000.0,292568851.0,PG-13,Action
