year,state,month,trt_month_year,trt_number,trt_region,trt_estacoes
1998,Acre,Janeiro,Janeiro - 1998,0,Norte,Verao
1999,Acre,Janeiro,Janeiro - 1999,0,Norte,Verao
2000,Acre,Janeiro,Janeiro - 2000,0,Norte,Verao
2001,Acre,Janeiro,Janeiro - 2001,0,Norte,Verao
2002,Acre,Janeiro,Janeiro - 2002,0,Norte,Verao
2003,Acre,Janeiro,Janeiro - 2003,1,Norte,Verao
2004,Acre,Janeiro,Janeiro - 2004,0,Norte,Verao
2005,Acre,Janeiro,Janeiro - 2005,1,Norte,Verao
2006,Acre,Janeiro,Janeiro - 2006,1,Norte,Verao
2007,Acre,Janeiro,Janeiro - 2007,0,Norte,Verao
2008,Acre,Janeiro,Janeiro - 2008,0,Norte,Verao
2009,Acre,Janeiro,Janeiro - 2009,0,Norte,Verao
2010,Acre,Janeiro,Janeiro - 2010,1,Norte,Verao
2011,Acre,Janeiro,Janeiro - 2011,0,Norte,Verao
2012,Acre,Janeiro,Janeiro - 2012,0,Norte,Verao
2013,Acre,Janeiro,Janeiro - 2013,0,Norte,Verao
2014,Acre,Janeiro,Janeiro - 2014,0,Norte,Verao
2015,Acre,Janeiro,Janeiro - 2015,1,Norte,Verao
2016,Acre,Janeiro,Janeiro - 2016,1,Norte,Verao
2017,Acre,Janeiro,Janeiro - 2017,0,Norte,Verao
1998,Acre,Fevereiro,Fevereiro - 1998,0,Norte,Verao
1999,Acre,Fevereiro,Fevereiro - 1999,0,Norte,Verao
2000,Acre,Fevereiro,Fevereiro - 2000,0,Norte,Verao
2001,Acre,Fevereiro,Fevereiro - 2001,0,Norte,Verao
2002,Acre,Fevereiro,Fevereiro - 2002,1,Norte,Verao
2003,Acre,Fevereiro,Fevereiro - 2003,0,Norte,Verao
2004,Acre,Fevereiro,Fevereiro - 2004,1,Norte,Verao
2005,Acre,Fevereiro,Fevereiro - 2005,0,Norte,Verao
2006,Acre,Fevereiro,Fevereiro - 2006,0,Norte,Verao
2007,Acre,Fevereiro,Fevereiro - 2007,1,Norte,Verao
2008,Acre,Fevereiro,Fevereiro - 2008,0,Norte,Verao
2009,Acre,Fevereiro,Fevereiro - 2009,1,Norte,Verao
2010,Acre,Fevereiro,Fevereiro - 2010,0,Norte,Verao
2011,Acre,Fevereiro,Fevereiro - 2011,0,Norte,Verao
2012,Acre,Fevereiro,Fevereiro - 2012,0,Norte,Verao
2013,Acre,Fevereiro,Fevereiro - 2013,0,Norte,Verao
2014,Acre,Fevereiro,Fevereiro - 2014,0,Norte,Verao
2015,Acre,Fevereiro,Fevereiro - 2015,1,Norte,Verao
2016,Acre,Fevereiro,Fevereiro - 2016,1,Norte,Verao
2017,Acre,Fevereiro,Fevereiro - 2017,1,Norte,Verao
1998,Acre,MarÁo,MarÁo - 1998,0,Norte,Outono
1999,Acre,MarÁo,MarÁo - 1999,0,Norte,Outono
2000,Acre,MarÁo,MarÁo - 2000,1,Norte,Outono
2001,Acre,MarÁo,MarÁo - 2001,0,Norte,Outono
2002,Acre,MarÁo,MarÁo - 2002,0,Norte,Outono
2003,Acre,MarÁo,MarÁo - 2003,0,Norte,Outono
2004,Acre,MarÁo,MarÁo - 2004,0,Norte,Outono
2005,Acre,MarÁo,MarÁo - 2005,1,Norte,Outono
2006,Acre,MarÁo,MarÁo - 2006,0,Norte,Outono
2007,Acre,MarÁo,MarÁo - 2007,1,Norte,Outono
2008,Acre,MarÁo,MarÁo - 2008,0,Norte,Outono
2009,Acre,MarÁo,MarÁo - 2009,1,Norte,Outono
2010,Acre,MarÁo,MarÁo - 2010,0,Norte,Outono
2011,Acre,MarÁo,MarÁo - 2011,0,Norte,Outono
2012,Acre,MarÁo,MarÁo - 2012,1,Norte,Outono
2013,Acre,MarÁo,MarÁo - 2013,1,Norte,Outono
2014,Acre,MarÁo,MarÁo - 2014,1,Norte,Outono
2015,Acre,MarÁo,MarÁo - 2015,1,Norte,Outono
2016,Acre,MarÁo,MarÁo - 2016,0,Norte,Outono
2017,Acre,MarÁo,MarÁo - 2017,0,Norte,Outono
1998,Acre,Abril,Abril - 1998,0,Norte,Outono
1999,Acre,Abril,Abril - 1999,0,Norte,Outono
2000,Acre,Abril,Abril - 2000,1,Norte,Outono
2001,Acre,Abril,Abril - 2001,0,Norte,Outono
2002,Acre,Abril,Abril - 2002,0,Norte,Outono
2003,Acre,Abril,Abril - 2003,1,Norte,Outono
2004,Acre,Abril,Abril - 2004,1,Norte,Outono
2005,Acre,Abril,Abril - 2005,1,Norte,Outono
2006,Acre,Abril,Abril - 2006,0,Norte,Outono
2007,Acre,Abril,Abril - 2007,0,Norte,Outono
2008,Acre,Abril,Abril - 2008,0,Norte,Outono
2009,Acre,Abril,Abril - 2009,0,Norte,Outono
2010,Acre,Abril,Abril - 2010,1,Norte,Outono
2011,Acre,Abril,Abril - 2011,1,Norte,Outono
2012,Acre,Abril,Abril - 2012,1,Norte,Outono
2013,Acre,Abril,Abril - 2013,1,Norte,Outono
2014,Acre,Abril,Abril - 2014,1,Norte,Outono
2015,Acre,Abril,Abril - 2015,1,Norte,Outono
2016,Acre,Abril,Abril - 2016,0,Norte,Outono
2017,Acre,Abril,Abril - 2017,1,Norte,Outono
1998,Acre,Maio,Maio - 1998,0,Norte,Outono
1999,Acre,Maio,Maio - 1999,0,Norte,Outono
2000,Acre,Maio,Maio - 2000,1,Norte,Outono
2001,Acre,Maio,Maio - 2001,0,Norte,Outono
2002,Acre,Maio,Maio - 2002,0,Norte,Outono
2003,Acre,Maio,Maio - 2003,1,Norte,Outono
2004,Acre,Maio,Maio - 2004,1,Norte,Outono
2005,Acre,Maio,Maio - 2005,1,Norte,Outono
2006,Acre,Maio,Maio - 2006,1,Norte,Outono
2007,Acre,Maio,Maio - 2007,1,Norte,Outono
2008,Acre,Maio,Maio - 2008,0,Norte,Outono
2009,Acre,Maio,Maio - 2009,1,Norte,Outono
2010,Acre,Maio,Maio - 2010,1,Norte,Outono
2011,Acre,Maio,Maio - 2011,1,Norte,Outono
2012,Acre,Maio,Maio - 2012,1,Norte,Outono
2013,Acre,Maio,Maio - 2013,1,Norte,Outono
2014,Acre,Maio,Maio - 2014,1,Norte,Outono
2015,Acre,Maio,Maio - 2015,1,Norte,Outono
2016,Acre,Maio,Maio - 2016,1,Norte,Outono
2017,Acre,Maio,Maio - 2017,1,Norte,Outono
1998,Acre,Junho,Junho - 1998,1,Norte,Outono
